,Team,#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
2018,Womens,21,"Tsingine, Tate",26,13.7,.330,.357,.813,0.4,1.4,1.8,1.3,0.5,0.0,4.1
2018,Womens,22,"Boston, Kaprice",29,13.3,.333,.222,.714,0.6,0.9,1.5,0.5,0.6,0.2,2.8
2018,Womens,25,"Lehew, Brianna",27,10.1,.437,.000,.526,0.9,1.5,2.3,0.6,0.3,0.6,2.7
2018,Womens,10,"Jensen, Abbey",5,3.6,1.000,.000,.000,0.0,0.2,0.2,0.0,0.0,0.2,1.2
2018,Womens,05,"Betoney, Chelena",16,5.0,.185,.176,.667,0.3,0.4,0.8,0.6,0.0,0.0,1.1
2018,Womens,24,"Appleby, Shantel",2,2.0,.000,.000,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2018,Womens,02,"Reiser, Ashley",1,1.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,Womens,11,"Lucero, Olivia",28,30.6,.415,.347,.773,1.3,3.4,4.7,2.6,1.1,0.1,14.8
2017,Womens,01,"Coggins, Rene",30,35.9,.351,.353,.797,0.9,1.8,2.7,2.6,0.9,0.1,11.5
2017,Womens,02,"Perez, Raina",30,26.2,.372,.293,.882,0.4,1.7,2.1,2.3,0.6,0.2,10.1
2017,Womens,04,"Lusain, Brittani",26,22.3,.415,.313,.643,2.8,4.0,6.8,2.8,1.2,0.2,9.8
2017,Womens,23,"Paplow, Kaleigh",30,26.3,.455,.150,.744,2.4,4.3,6.7,1.9,1.1,0.3,8.6
2017,Womens,12,"McDavis, Kenna",17,19.5,.348,.333,.688,0.4,2.5,2.9,0.6,0.5,0.1,6.6
2017,Womens,22,"Preston, Catelyn",27,15.8,.400,.351,.786,0.8,3.0,3.7,1.1,0.4,0.1,5.3
